date,username,tweet
2022-10-24 11:10:02+00:00,Deviasuryadania,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/uRzETM2mwX
2022-10-24 11:08:49+00:00,Deviasuryadania,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/trnUEqgql6
2022-10-24 11:08:05+00:00,Deviasuryadania,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/dfjMsm8qSo
2022-10-24 11:07:12+00:00,Deviasuryadania,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/t3a9dWGIKz
2022-10-24 11:06:10+00:00,Deviasuryadania,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/VqzV8S2ACX
2022-10-24 11:06:10+00:00,harh4lmahera,1.443 Pengemudi Transportasi di Halut Terima BLT BBM https://t.co/IoaLQHMmut lewat @Harian Halmahera
2022-10-24 11:06:03+00:00,ngopibareng_id,"Mengurangi dampak inflasi, Pemkot Kota Surabaya menyerahkan Bantuan Langsung Tunai Bahan Bakar Minyak (BLT BBM) kep… https://t.co/96OOgKgU9b"
2022-10-24 11:05:12+00:00,Deviasuryadania,pemberian BLT oleh pemerintah yg berdampak thdp perputaran roda perekonomian https://t.co/QHqps9CTWI
2022-10-24 11:03:40+00:00,Gajah_Mada01,"@ballapann Top BLT subsidi BBM terbukti ampuh mengendalikan laju inflasi 
#FaktaPertalite"
2022-10-24 11:02:57+00:00,andrewbendico,@okkyjellyboy @aguspy_ @mazzini_gsp Mending elo sono antri BLT daripada nge bacot https://t.co/Pd7jEwv036
2022-10-24 11:02:08+00:00,andrewbendico,@setia010185 @aguspy_ @mazzini_gsp Elo BuzzerRp mending antri BLT sono https://t.co/7Q7jBcFVzK
2022-10-24 10:54:06+00:00,pikiran_rakyat,Cara Cek Penerima BLT BBM Tahap 2 yang Akan Segera Cair dengan Login https://t.co/5PxrMzDdZ0 https://t.co/0ltDIgpgS4 https://t.co/9HlElZA7Gm
2022-10-24 10:54:06+00:00,PRDepok,Cara Cek Penerima BLT BBM Tahap 2 yang Akan Segera Cair dengan Login https://t.co/wAG9qVK5nG https://t.co/PnlxmJv0SG
2022-10-24 10:51:47+00:00,e100ss,"Pemkot Surabaya Bagikan BLT BBM kepada Pengemudi Angkutan Umum untuk Tekan Inflasi 
https://t.co/YFAIcXKa3T"
2022-10-24 10:48:10+00:00,pikiran_rakyat,Kapan BSU Tahap 6 Cair? Simak Info Jadwal Pencairan BLT Subsidi Gaji Rp600.000 https://t.co/b4prg07CpV https://t.co/SlwyePwDx2
2022-10-24 10:48:09+00:00,PRDepok,Kapan BSU Tahap 6 Cair? Simak Info Jadwal Pencairan BLT Subsidi Gaji Rp600.000 https://t.co/9g867AErSc
2022-10-24 10:43:30+00:00,ballapann,Presiden joko widodo @jokowi menuturkan bahwa tingkat inflasi di RI masih tergolong rendah dan terkendali. Banyak f… https://t.co/a8SrcYgfxy
2022-10-24 10:41:39+00:00,JonathanBragg17,Remember BLT https://t.co/q6unK54Hkl
2022-10-24 10:41:16+00:00,Jud303i,@Wienarko31 @sutanmangara Maunya malah dapat BLT terus
2022-10-24 10:39:45+00:00,CahayaJelita01,@prgjurit @pertamina BLT BBM jaga daya beli masyarakat
2022-10-24 10:35:43+00:00,Gajah_Mada01,"@IrvanWis Bantalan Sosial berupa BLT Subsidi BBM membuktikan dapat membuat Laju Inflasi terkendali
#FaktaPertalite"
2022-10-24 10:31:49+00:00,BaileyR07558782,Pembagian BLT mudah dan tepat sasaran ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/8NLh6cVTJJ
2022-10-24 10:31:48+00:00,BaileyR07558782,Dukung dan kawal penyaluran BLT ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/UAxp8A5y5j
2022-10-24 10:31:48+00:00,BaileyR07558782,BLT BBM sanagat bermanfaat ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/mrD2iblV9B
2022-10-24 10:31:47+00:00,BaileyR07558782,Penyaluran BLT BBM hampir 100 persen ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/KrTnqBG0Tz
2022-10-24 10:31:47+00:00,BaileyR07558782,Masyarakat apresiasi BLT untuk rakyat ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/SphIIJUXHU
2022-10-24 10:31:16+00:00,InfoKita62,Masyarakat apresiasi BLT untuk rakyat ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/VhfSr5SbkP
2022-10-24 10:31:15+00:00,InfoKita62,"Hore, BLT cair lagi ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat #KPMPenyaluranBLTTepatSasaran… https://t.co/8qC2maeVNM"
2022-10-24 10:31:15+00:00,InfoKita62,Dukung pemerintah percepat penyaluran BLT ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/gODH5e4Dv6
2022-10-24 10:31:14+00:00,InfoKita62,"Mantap, BLT cair, semoga bermanfaat ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/GDHJoh6Zr5"
2022-10-24 10:31:13+00:00,InfoKita62,BLT BBM sanagat bermanfaat ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/LqBBxvAMLu
2022-10-24 10:31:12+00:00,InfoKita62,Penyaluran BLT BBM hampir 100 persen ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/Sj82xQIi2R
2022-10-24 10:31:10+00:00,InfoKita62,Dukung dan kawal penyaluran BLT ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/9Dk1sQB7tP
2022-10-24 10:31:08+00:00,InfoKita62,"Asyik BLT cair, utk ojol bulan Oktober ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/XGcm6tkZsL"
2022-10-24 10:31:06+00:00,InfoKita62,Masyarakat apresiasi BLT untuk rakyat ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/GKDIZ7Q3ad
2022-10-24 10:31:04+00:00,InfoKita62,Pembagian BLT mudah dan tepat sasaran ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/TcBD4WeEu5
2022-10-24 10:31:02+00:00,InfoKita62,Dukung BLT tepat sasaran ~ DKI Jakarta #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/cARvAiai1N
2022-10-24 10:29:35+00:00,InfoKita62,"BLT Membantu perekonomian masyarakat DKI Jakarta dan seluruh Indonesia

#BLTBBMBantuMasyarakat… https://t.co/UXciwWQTKw"
2022-10-24 10:28:38+00:00,BaileyR07558782,"Penyaluran BLT BBM hampir 100 persen
~ DKI Jakarta - #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/t6yatoJ7T1"
2022-10-24 10:28:37+00:00,BaileyR07558782,"Dukung dan kawal penyaluran BLT
~ DKI Jakarta - #BLTBBMBantuMasyarakat #BansosBBMRingankanRakyat… https://t.co/8YBgXyRh7R"
